rank	player_name	team	points	gp	avg_points
19	Juwan Johnson	NO	33.6	8	4.2
20	Daniel Bellinger	NYG	33.4	6	5.6
21	Noah Fant	SEA	33.2	9	3.7
22	Tyler Higbee	LAR	31.2	8	3.9
23	Cade Otton	TB	30.6	8	3.8
24	Dawson Knox	BUF	30.3	7	4.3
25	Hunter Henry	NE	30.0	9	3.3
26	Irv Smith Jr.	MIN	28.8	7	4.1
27	Mo Alie-Cox	IND	26.9	7	3.8
28	Jelani Woods	IND	25.9	6	4.3
29	Greg Dulcich	DEN	24.2	3	8.1
30	Isaiah Likely	BAL	24.1	7	3.4
31	Darren Waller	LV	23.5	5	4.7
32	O.J. Howard	HOU	23.0	7	3.3
33	Colby Parkinson	SEA	22.5	7	3.2
34	Jordan Akins	HOU	21.9	6	3.7
35	Tommy Tremble	CAR	19.9	7	2.8
36	Jake Ferguson	DAL	18.8	5	3.8
37	Noah Gray	KC	18.4	8	2.3
38	Dalton Schultz	DAL	18.3	6	3.1
39	Kylen Granson	IND	17.6	9	2.0
40	Logan Thomas	WAS	16.6	5	3.3
41	Ross Dwelley	SF	16.5	5	3.3
42	Foster Moreau	LV	15.7	5	3.1
43	Chigoziem Okonkwo	TEN	15.6	7	2.2
44	Jonnu Smith	NE	15.4	7	2.2
45	Austin Hooper	TEN	15.0	8	1.9
46	Adam Trautman	NO	14.6	4	3.7
47	Peyton Hendershot	DAL	14.5	6	2.4
48	Eric Saubert	DEN	14.3	7	2.0
49	Jody Fortson	KC	13.9	5	2.8
50	Johnny Mundt	MIN	13.7	8	1.7
51	Ian Thomas	CAR	12.0	8	1.5
52	Cameron Brate	TB	11.4	5	2.3
52	Harrison Bryant	CLE	11.4	6	1.9
54	Durham Smythe	MIA	11.1	6	1.9
55	Josiah Deguara	GB	10.6	6	1.8
56	Dan Arnold	JAC	10.5	6	1.8
57	Geoff Swaim	TEN	10.3	4	2.6
58	Chris Myarick	NYG	10.2	6	1.7
59	Tanner Hudson	NYG	9.8	4	2.5
60	Josh Oliver	BAL	9.3	5	1.9
61	Pharaoh Brown	Multi	9.3	6	1.6
62	Zach Gentry	PIT	9.2	6	1.5
63	Brock Wright	DET	8.8	5	1.8
63	Armani Rogers	WAS	8.8	7	1.3
65	John Bates	WAS	8.4	7	1.2
66	C.J. Uzomah	NYJ	8.2	7	1.2
66	James Mitchell	DET	8.2	2	4.1
68	Marcedes Lewis	GB	8.1	2	4.1
69	MyCole Pruitt	ATL	6.8	2	3.4
70	Connor Heyward	PIT	6.7	6	1.1
71	Giovanni Ricci	CAR	6.6	8	0.8
72	Teagan Quitoriano	HOU	6.2	1	6.2
73	Shane Zylstra	DET	6.1	2	3.1
74	Andrew Beck	DEN	5.8	6	1.0
75	Donald Parham Jr.	LAC	5.3	2	2.7
76	Ko Kieft	TB	5.2	8	0.7
77	Parker Hesse	ATL	5.0	6	0.8
